label,sample,ID,condition,replicate
lfq_intensity_cond_a_rep_1,cond_a_rep_1,cond_a_1,cond_a,1
lfq_intensity_cond_a_rep_2,cond_a_rep_2,cond_a_2,cond_a,2
lfq_intensity_cond_a_rep_3,cond_a_rep_3,cond_a_3,cond_a,3
lfq_intensity_cond_a_rep_4,cond_a_rep_4,cond_a_4,cond_a,4
lfq_intensity_cond_a_rep_5,cond_a_rep_5,cond_a_5,cond_a,5
lfq_intensity_cond_b_rep_1,cond_b_rep_1,cond_b_1,cond_b,1
lfq_intensity_cond_b_rep_2,cond_b_rep_2,cond_b_2,cond_b,2
lfq_intensity_cond_b_rep_3,cond_b_rep_3,cond_b_3,cond_b,3
lfq_intensity_cond_b_rep_4,cond_b_rep_4,cond_b_4,cond_b,4
lfq_intensity_cond_b_rep_5,cond_b_rep_5,cond_b_5,cond_b,5
lfq_intensity_cond_c_rep_1,cond_c_rep_1,cond_c_1,cond_c,1
lfq_intensity_cond_c_rep_2,cond_c_rep_2,cond_c_2,cond_c,2
lfq_intensity_cond_c_rep_3,cond_c_rep_3,cond_c_3,cond_c,3
lfq_intensity_cond_c_rep_4,cond_c_rep_4,cond_c_4,cond_c,4
lfq_intensity_cond_c_rep_5,cond_c_rep_5,cond_c_5,cond_c,5
lfq_intensity_cond_d_rep_1,cond_d_rep_1,cond_d_1,cond_d,1
lfq_intensity_cond_d_rep_2,cond_d_rep_2,cond_d_2,cond_d,2
lfq_intensity_cond_d_rep_3,cond_d_rep_3,cond_d_3,cond_d,3
lfq_intensity_cond_d_rep_4,cond_d_rep_4,cond_d_4,cond_d,4
lfq_intensity_cond_d_rep_5,cond_d_rep_5,cond_d_5,cond_d,5
lfq_intensity_cond_e_rep_1,cond_e_rep_1,cond_e_1,cond_e,1
lfq_intensity_cond_e_rep_2,cond_e_rep_2,cond_e_2,cond_e,2
lfq_intensity_cond_e_rep_3,cond_e_rep_3,cond_e_3,cond_e,3
lfq_intensity_cond_e_rep_4,cond_e_rep_4,cond_e_4,cond_e,4
lfq_intensity_cond_e_rep_5,cond_e_rep_5,cond_e_5,cond_e,5
lfq_intensity_cond_f_rep_1,cond_f_rep_1,cond_f_1,cond_f,1
lfq_intensity_cond_f_rep_2,cond_f_rep_2,cond_f_2,cond_f,2
lfq_intensity_cond_f_rep_3,cond_f_rep_3,cond_f_3,cond_f,3
lfq_intensity_cond_f_rep_4,cond_f_rep_4,cond_f_4,cond_f,4
lfq_intensity_cond_f_rep_5,cond_f_rep_5,cond_f_5,cond_f,5
