PG.ProteinGroups	PG.Genes	PG.ProteinDescriptions	PG.Organisms	[1] Ctrl_1.raw.PG.Log2Quantity	[2] Ctrl_2.raw.PG.Log2Quantity	[3] Ctrl_3.raw.PG.Log2Quantity	[4] Ctrl_4.raw.PG.Log2Quantity	[5] Ctrl_5.raw.PG.Log2Quantity	[6] TreatA_1.raw.PG.Log2Quantity	[7] TreatA_2.raw.PG.Log2Quantity	[8] TreatA_3.raw.PG.Log2Quantity	[9] TreatA_4.raw.PG.Log2Quantity	[10] TreatA_5.raw.PG.Log2Quantity	[11] TreatB_1.raw.PG.Log2Quantity	[12] TreatB_2.raw.PG.Log2Quantity	[13] TreatB_3.raw.PG.Log2Quantity	[14] TreatB_4.raw.PG.Log2Quantity	[15] TreatB_5.raw.PG.Log2Quantity
Q8NG11	TSPAN14	tetraspanin 14	Homo sapiens	NA	15.753	15.973	15.54	16.01	17	16.063	16.075	NA	15.531	16.072	15.889	15.595	15.509	NA
A0A024R625	PPP4C	protein phosphatase 4 catalytic subunit	Homo sapiens	NA	14.611	15.612	14.847	NA	15.866	NA	15.58	15.203	14.724	NA	15.465	15.353	15.68	14.368
A0AA34QW01	BRD7	bromodomain containing 7	Homo sapiens	NA	NA	NA	13.997	NA	13.543	NA	14.452	NA	NA	14.331	NA	NA	13.995	13.798
A2VDJ1	GOLGA6D	golgin A6 family member D	Homo sapiens	15.995	15.778	15.575	15.714	15.512	16.003	15.771	15.981	15.41	15.036	15.344	15.432	15.68	15.728	NA
A8K1A8	POLR2B	RNA polymerase II subunit B	Homo sapiens	NA	13.237	NA	12.836	NA	NA	NA	13.495	NA	NA	NA	NA	NA	NA	12.657
Q05932	FPGS	folylpolyglutamate synthase	Homo sapiens	NA	15.393	15.442	NA	NA	15.692	15.758	16.038	NA	14.854	15.249	15.024	15.543	15.423	15.017
F8W6X9	SDK1	sidekick cell adhesion molecule 1	Homo sapiens	NA	NA	NA	14.07	NA	14.662	NA	NA	14.521	14.065	14.528	NA	14.641	14.244	NA
A8K2X1	FZD5	frizzled class receptor 5	Homo sapiens	17.601	17.613	17.161	17.502	17.311	17.47	16.98	18.174	17.464	16.851	17.552	17.355	17.621	17.609	NA
Q14032	BAAT	bile acid-CoA:amino acid N-acyltransferase	Homo sapiens	10.902	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0AVI9	DNAI4	dynein axonemal intermediate chain 4	Homo sapiens	18.963	19.322	18.775	18.095	18.296	18.453	18.374	18.678	18.702	18.256	18.296	18.825	18.966	18.942	18.481
Q2M3V2	SOWAHA	sosondowah ankyrin repeat domain family member A	Homo sapiens	NA	13.27	NA	13.497	NA	13.538	NA	13.8	13.788	NA	16.293	16.324	16.572	16.324	15.846
O95896	HMGCLL1	3-hydroxy-3-methylglutaryl-CoA lyase like 1	Homo sapiens	11.926	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
B4E2Z2	MSH2	mutS homolog 2	Homo sapiens	15.107	14.666	14.733	14.522	14.608	15.101	NA	NA	15.188	15.02	NA	14.484	13.92	14.417	NA
A0A090N8F8	ADCYAP1R1	ADCYAP receptor type I	Homo sapiens	17.784	17.272	17.19	17.379	17.292	17.291	17.197	17.682	17.855	17.703	17.032	17.473	17.133	17.5	17.768
B4DQ75	DAP	death associated protein	Homo sapiens	14.049	NA	13.629	13.593	NA	NA	14.024	14.878	NA	NA	NA	NA	13.031	NA	12.912
Q0ZNK4	SPANXN3	SPANX family member N3	Homo sapiens	16.708	16.313	16.193	16.211	16.583	16.455	16.144	16.48	15.715	16.034	15.872	16.808	16.341	16.252	16.139
P09455	RBP1	retinol binding protein 1	Homo sapiens	18.09	18.292	18.46	NA	17.739	17.657	17.501	18.15	17.611	17.988	17.907	18.337	NA	17.895	17.874
B4DF80	NOL6	nucleolar protein 6	Homo sapiens	NA	NA	12.867	12.053	NA	12.494	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A1U9X7E3	C6orf15	chromosome 6 open reading frame 15	Homo sapiens	15.429	14.983	15.839	15.374	NA	16.212	15.843	16.491	15.806	15.525	15.531	15.69	15.941	NA	NA
A0A024R0E1	ATP5PB	ATP synthase peripheral stalk-membrane subunit b	Homo sapiens	NA	17.396	17.427	17.379	17.001	17.114	17.465	17.801	17.457	18.209	15.927	16.519	15.971	16.456	NA
A8K712	JOSD1	Josephin domain containing 1	Homo sapiens	21.685	21.992	21.938	21.11	22.27	22.033	21.69	22.186	21.596	21.804	22.219	21.572	21.65	22.257	21.694
A1L3A6	NUFIP2	nuclear FMR1 interacting protein 2	Homo sapiens	16.034	16.583	16.984	15.948	16.509	16.514	15.809	16.877	16.536	16.154	15.736	16.431	16.353	16.747	NA
